<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
20260624 000000 102.03 102.41 97.13 98.02 98521590
20260625 000000 98.47 99.72 97.3 98.07 78705590
20260626 000000 98.09 101.12 95.65 99.07 112717700
20260627 000000 99.28 99.66 99.1 99.28 2100900
20260628 000000 99.39 99.68 99.08 99.22 3023750
20260629 000000 99.59 102.69 97.8 101.98 64013920
20260630 000000 101.98 103.59 100.32 100.9 59908900
20260701 000000 100.94 102.53 99.93 101.03 30409810
20260702 000000 101 101.64 96.55 97.05 58816060
20260703 000000 97.3 98.5 96.07 96.84 51275960
20260704 000000 96.94 97.8 96.64 96.91 1882320
20260705 000000 98.7 98.9 97.33 97.84 4938010
20260706 000000 97.99 98.12 94.69 94.81 59490610
20260707 000000 94.82 94.99 91.45 94.26 95339490
20260708 000000 94.26 96.2 92.82 95.86 65595930
20260709 000000 95.92 96.18 92.81 93.2 37401020
20260710 000000 93.4 94.39 92.34 92.77 34357820
20260711 000000 92.77 92.96 92.44 92.71 1481320
20260712 000000 92.94 93.47 92.82 93.26 2180820
20260713 000000 93.3 95.45 91.76 94.41 56104270
20260714 000000 94.34 95.39 92.57 93.01 41859500
20260715 000000 93.04 93.32 88.35 88.44 100727420
20260716 000000 88.33 88.42 83.22 83.46 152655250
20260717 000000 83.1 85.5 78.1 78.38 148910180
20260718 000000 78.6 79.5 78.4 79.47 11272090
20260719 000000 79.8 80.3 79.4 80.19 8196770
20260720 000000 80.24 85.47 78.31 85.4 125577340
20260721 000000 85.8 87.66 83.2 86.45 122710360
20260722 000000 86.7 91.85 84.94 91.06 129638860
20260723 000000 91.06 91.74 88.83 90.17 92636920
20260724 000000 90.12 93.87 87.3 93.22 152657440
20260725 000000 93.44 93.44 92.8 93.26 5146270
20260726 000000 93.19 93.19 92 92.14 5309680
20260727 000000 92.14 93.95 90.74 93.1 65539980
20260728 000000 93.11 94.33 91.23 91.65 56213850
20260729 000000 92.01 93.09 90.8 92.34 54123770
20260730 000000 92.42 94.7 91.52 91.81 71402500
20260731 000000 91.99 92.35 90.5 92.06 47931960
20260803 000000 92.01 94.26 91.53 94.12 43626150
20260804 000000 94.12 94.47 91.65 93.15 50881480
20260805 000000 93.33 95.6 92.5 95.41 83368980
20260806 000000 95.55 96.4 92.11 93.19 97833890
20260807 000000 93.39 94.5 91.18 91.64 75907720
20260808 000000 91.64 94.13 91.64 93.55 14584670
20260809 000000 93.55 93.74 93.3 93.67 5252880
20260810 000000 93.77 94.11 92.02 93.39 45212250
20260811 000000 93.4 94.4 92.91 93.53 47061680
20260812 000000 93.48 94.34 91.55 91.68 59257350
20260813 000000 91.91 92.26 88.45 88.53 78213970
20260814 000000 88.79 89.75 84.15 84.59 110476380
20260817 000000 84.6 85.68 82 83.16 112734860
20260818 000000 83.2 85.77 82.72 85.24 75328430
20260819 000000 85.01 85.64 83.51 84.86 53050820
20260820 000000 84.89 86.7 82.74 82.87 83745790
20260821 000000 82.86 84.82 82.28 84.78 43706940
20260822 000000 84.97 84.97 83.7 84 4133310
20260823 000000 84 84.14 83.31 83.6 4129970
20260824 000000 83.39 83.99 81.53 83.09 62965540
20260825 000000 83.07 87.2 82.33 85.01 91386920
