  Данные статистики о клиентах

доход,   размер кредита,  возраст,
тыс.руб.  тыс.руб.          лет

 11.20      23.95          20.70
 14.39      16.18          20.77
 13.46      27.66          21.68
 18.72      28.90          23.99
 17.68      19.62          21.18
 17.31      28.34          23.15
 18.19      24.61          23.14
 20.41      29.53          21.68
 20.13      25.51          21.89
 18.31      27.80          20.91
 21.89      29.92          17.66
 13.78      35.65          17.53
 16.07      29.89          26.04
 20.27      24.23          23.22
 12.17      34.75          23.06
 12.85      23.52          21.86
 12.46      34.16          19.96
 12.72       9.91          24.01
 14.90      35.81          22.52
 10.33      24.21          19.63
 10.79      14.83          24.14
 21.08      20.23          21.59
 16.07      23.87          22.17
 15.61      25.79          21.36
 20.62      20.14          18.50
 13.23      30.15          22.86
  7.76      24.48          24.68
  7.59      20.42          22.94
 11.13      26.02          24.62
 22.07      18.04          22.90
 13.34      13.46          17.56
 19.13      30.67          21.13
 10.73      13.82          21.94
 17.52      26.02          23.75
 12.77      30.92          24.27
 13.55      28.94          24.20
  8.59      17.71          20.06
 15.62      19.60          23.71
 14.54      24.89          22.53
 18.29      25.63          21.60
 18.72      23.52          22.07
  8.29      32.32          20.69
 21.86      13.16          21.61
 13.77      13.65          21.15
 15.47      25.42          22.89
 14.57      11.39          21.47
 15.16      31.28          22.81
 12.93      26.83          23.89
 15.77      29.43          22.00
 20.23      29.10          19.34
 16.07      16.26          21.54
 13.91      24.87          23.96
 14.61      20.09          21.38
 21.20      30.72          24.98
 13.59      15.37          22.86
 15.06      21.22          20.51
 19.36      39.72          21.70
 17.43      22.16          22.18
 20.78      27.13          23.26
  8.58      12.93          20.67
 17.00      26.38          22.39
 18.35      15.77          24.76
 14.63      26.82          22.60
 12.86      28.71          22.28
 10.33      28.47          20.26
 14.63      20.66          22.68
 17.05      30.83          22.28
 17.97      23.13          20.32
 17.79      22.04          22.91
 10.12      29.26          25.78
 17.48      36.09          21.40
 14.72      17.69          20.77
 16.73      26.10          23.07
 14.18      19.49          23.14
 10.11      23.98          20.27
 16.50      19.15          22.91
 23.88      12.59          19.59
 14.57      16.73          23.03
 23.05      29.10          22.47
  9.96       8.26          21.89
 17.70      19.51          19.87
 14.53      22.53          21.29
 18.40      25.12          22.95
 16.44      16.91          25.31
 11.71      30.02          23.89
 13.30      32.82          21.27
 13.05      19.55          21.25
 11.03      23.40          20.88
 19.14      30.27          23.67
  9.03      25.24          22.27
 15.44      21.93          24.07
 13.52      30.84          25.39
 14.20      20.78          22.93
  7.47      25.23          23.95
 16.50      13.79          22.23
 16.02      12.52          18.96
 12.09      19.65          21.67
 15.87      22.69          19.79
 13.00      27.23          22.00
 16.85      31.56          23.18
 73.52     199.98          32.72
 67.53     209.93          33.44
 56.26     196.50          28.67
 87.18     225.86          36.70
 73.04     213.82          32.15
 85.99     206.45          34.55
 62.05     201.24          38.58
 77.32     209.73          39.75
 75.39     201.11          29.20
 65.38     180.90          40.21
 91.92     200.92          38.15
 57.60     153.44          31.13
 81.42     194.46          26.08
 74.59     190.67          35.52
 63.89     210.83          30.58
 54.27     185.49          36.68
 79.10     203.94          30.07
 48.39     187.30          31.77
 72.83     201.59          35.23
 69.68     206.78          32.88
 78.70     190.98          34.70
 69.89     171.24          34.91
 58.56     225.35          36.68
 71.30     205.12          43.85
 59.41     183.54          35.80
 84.69     197.71          36.79
 68.45     215.33          25.07
 61.27     183.28          39.66
 73.43     191.93          30.01
 70.01     205.40          34.56
 57.33     187.51          32.64
 78.53     233.97          32.14
 88.91     187.10          38.94
 74.86     203.26          36.56
 84.42     196.43          37.92
 63.90     163.97          32.97
 53.70     211.38          40.30
 79.18     207.55          29.78
 61.90     211.45          33.59
 78.92     170.45          33.26
 69.37     192.91          32.49
 72.16     226.39          32.21
 77.13     209.88          41.08
 63.15     203.06          36.46
 79.55     158.97          38.26
 95.97     221.21          35.03
 71.82     195.68          35.25
 68.09     209.44          39.83
 64.94     207.03          33.46
 60.01     207.67          34.69
 41.16     190.20          33.48
 71.12     191.38          33.38
 77.03     211.02          34.73
 69.72     217.25          33.55
 73.80     199.14          30.02
 50.15     194.32          38.64
 53.12     207.97          35.75
 74.17     189.46          32.60
 47.91     211.98          39.14
 82.58     216.10          36.23
 77.05     195.93          30.28
 69.35     187.10          33.82
 56.93     205.01          35.89
 72.27     197.71          38.04
 69.12     189.46          33.15
 68.43     181.30          36.08
 66.87     206.79          30.32
 65.89     174.52          34.43
 76.11     245.99          36.43
 65.16     176.74          34.48
 77.08     199.60          34.81
 76.50     174.58          30.51
 81.89     183.02          42.07
 75.27     160.89          40.11
 89.11     214.48          31.61
 69.72     229.58          35.09
 80.33     196.63          34.32
 55.31     200.40          36.34
 68.95     197.40          36.22
 53.40     181.65          36.55
 69.18     204.18          32.53
 72.12     195.30          30.45
 74.42     221.94          36.38
 68.66     194.40          36.14
 93.74     152.73          34.76
 70.12     196.42          39.96
 76.25     201.28          37.39
 81.08     215.93          30.90
 85.93     208.61          38.52
 57.59     161.42          37.81
 63.23     216.59          39.83
 56.35     184.78          34.42
 53.94     181.64          36.28
 81.27     180.50          33.06
 68.87     223.18          38.79
 72.41     182.22          36.19
 75.72     214.41          32.60
103.07     152.50          33.97
 83.09     171.34          35.80
 78.24     175.48          37.22
 26.74      92.77          40.38
 33.06      96.44          40.76
 28.94      87.15          43.21
 35.14     113.81          41.31
 34.40     111.66          48.75
 33.83     125.61          46.11
 31.34     107.23          64.70
 27.93      97.90          46.49
 23.38      86.20          52.16
 25.84      93.34          47.15
 22.97     123.44          53.14
 37.27     126.69          55.05
 24.30     111.14          40.65
 29.22     106.03          34.97
 38.03     113.76          33.34
 34.31     107.45          49.68
 22.59      81.52          56.22
 21.93     100.34          41.80
 23.19     104.45          32.60
 30.61     118.79          70.40
 30.07      87.66          41.37
 24.54      97.91          35.80
 24.25     119.81          51.47
 35.34     104.39          46.61
 27.03      83.32          40.69
 27.43      77.43          51.04
 33.85      97.77          58.14
 29.84     107.76          44.64
 19.78     121.51          43.40
 24.15      69.05          43.81
 38.56     102.39          47.06
 29.89      93.94          64.78
 36.99     110.00          59.76
 33.81      67.34          52.77
 17.22     107.34          53.23
 25.77      93.82          58.76
 34.03     109.08          44.18
 24.08      65.70          42.10
 35.80      94.82          66.06
 36.20     115.68          44.88
 33.03      83.78          49.78
 24.94      97.75          58.44
 41.15     139.83          45.39
 26.80      92.49          47.69
 34.22      95.32          65.39
 21.98      89.47          37.45
 16.52      98.03          46.92
 37.58      88.75          61.91
 33.33     154.30          54.43
 32.02      91.71          47.68
 41.09      85.63          59.30
 28.96      95.27          52.57
 19.62     109.86          74.03
 30.07      87.34          52.65
 29.98     117.86          60.08
 25.04     124.44          52.47
 32.38      76.98          42.06
 32.61      95.70          39.86
 17.50      96.13          53.40
 35.77     114.35          35.33
 31.33     106.45          41.94
 30.35     129.95          45.27
 28.13     122.04          43.65
 36.74      78.62          57.65
 31.58     105.86          36.91
 32.98      75.20          60.39
 23.19      87.42          37.94
 31.75      86.83          45.44
 18.92      71.04          49.35
 34.59     104.30          47.27
 40.71      88.55          33.33
 36.43     117.36          61.99
